,index,번호,제목,평점,감상평
70,0,18139978,몽상가들,3,"1968년 프랑스 사회를 보여주고 싶은건 알겠는데, 도대체 무슨 예술적 가치가 있고 메시지가 있다는건지 모르겠다. 이해가 안되는 변태적인 씬을 찍느라 고생한 배우들이 불쌍할정도. 고평점 준 사람들은 에바 그린의 노출에 대한 내적환호를 어떻게든 포장하려는 것 아닌가 싶다."
71,1,18139977,브로커,1,올해 최악의 영화..시간가는줄 모르고 잠듷었다
72,2,18139976,브로커,1,진짜 시간 아까워서 화나게 만드는 영화매순간이 지루하고 진부한 전개
73,3,18139975,킬러의 보디가드 2: 킬러의 와이프,10,아 이게 6점대 받을 정도의 영화는 아니제
74,4,18139973,브로커,6,평범그자체네요! 그냥 배우빨 영화라고 보면 됩니다~
75,5,18139972,고스트버스터즈 라이즈,8,생각없이 보면 재밋슴..그래픽이 좀 아쉬웠던게 좀 단점
76,6,18139971,브로커,2,영화 보면서 중간에 나온건 처음입니다진심이니 참고하세요 왜 칸에 간거지...
77,7,18139970,시카리오: 암살자의 도시,10,장면과 OST연출이 대단했던 영화
78,8,18139969,마터스: 천국을 보는 눈,1,어거지로 의미를 부여한 개 똥같은 사이코 영화 이거 보고 재밌으면 탈 인간 ^^
79,0,18139968,악인전,7,무난함~ 뭔가 좀 임팩트가 없는 느낌??내가 유튜브로 너무 미리 많이 보고 봐서 그럴수도
80,1,18139967,브로커,10,여백과 여운이 남는 영화
81,2,18139966,브로커,10,"연출, 연기, 영상 다 완벽하고 몰입도 높은데 이걸 0.5점 주면서 테러하는 이유를 모르겠다.. 영화 좋아하시는 분들은 고민 말고 꼭 보세요."
82,3,18139965,우연과 상상,8,연출의 힘. 정제된 인물간 대사와 치밀한 구성은 마치 단편 소설을 보는듯한.
83,4,18139964,범죄도시2,10,닥스 말고 이거볼걸... 훨씬 잼있음!!!!
84,5,18139963,킬러의 보디가드 2: 킬러의 와이프,10,정말 재밌었어요 하루종일 웃었습니다^_^
85,6,18139962,굿타임,10,한치앞도 예상못한 추격전이었다
86,7,18139961,브로커,10,평점 왜이렇게 낮은지 이해안감간만에 잔잔하면서도 생각하게 만드는 영화라대만족
87,8,18139960,브로커,7,자극없이 잔잔한 영화
88,9,18139959,매디슨 카운티의 다리,10,"“너희는 행복을 위해 노력하며 살아라. 세상은 너무 아름답단다.” 누군가의 아내, 엄마, 이웃이 아닌 그저 이 한 사람의 고유의 삶으로써 영화를 몰입했을 때 더 마음이 아려온다. 이 여인의 희생으로 그녀의 소중한 사람들이 본인들의 행복을 위해 노력할 수 있는 또 다른 삶의 기회가 주어진게 아닐까 싶다."
89,0,18139958,범죄도시2,7,"기본에 충실하고, 유쾌하고, 상쾌하고, 통쾌!"
90,1,18139957,파이브 피트,10,인생 영화입니다 ㅠㅠ 너무 감동적이고 마음이 아팠어요
91,2,18139956,쥬라기 월드: 도미니언,10,평안좋았는데아이들과잼나게보았습니다
92,3,18139955,그대가 조국,1,우파를 잡으라고 뽑아놨더니 좌파비리를 파헤치니 갑자기 미치겠지
93,4,18139954,브로커,10,태어나줘서 고마운 모든 사람들을 위한 영화.
94,5,18139953,브로커,2,감독님 잘잤습니다^^
95,6,18139952,홍콩 좀비 히어로,10,만자량 보려고 봤다 80년대때 비주얼 지렸는데 할아부지됨 ㅜㅜ 그래도 좋네요
96,7,18139950,범죄도시2,10,꿀잼 ㅠ 어떻게보면 뻔한 결말이지만 넘 재밌어여
97,0,18139948,주홍글씨,2,배우들의 연기만이 이 영화에서 호평할 내용. 도대체 이 영화가 뭘 말하려는지 이해가 안감. 영화 제작과정에서 감독때문에 배우들이 겪은 고통까지 생각하면 1점도 아깝다. 당장 학생들 가르치는 것도 그만해아 할듯.
98,1,18139947,범죄도시2,10,코믹반 긴장감반ㅋ걍웃김
99,2,18139946,카시오페아,10,"알츠하이머를 겪는 사람, 알츠하이머에 대응하는 가족의 각종 상황을 그려내는 배우들의 연기가 정말 실감나고 가슴아프면서 감동적입니다. 안성기 님 서현진 님 연기 정말 잘 봤습니다. 가족과의 소중한 기억, 나아가 사랑에 대해 생각해 볼 수 있습니다."
100,3,18139944,썸머 워즈,6,늑대아이 시달소는 진짜 재밌게 봤는데 이건 별로네요.이걸 볼 바엔 차라리 짱구는 못말려 극장판을 다시 볼 것 같습니다.평점도 좋고 재밌다고들 해서 기대하고 봤는데 개별로 였습니다.
101,4,18139943,브로커,1,그냥 감동을 짜낼려고 노력한 영화. 배우가 좋아서 볼만함
102,5,18139942,앰뷸런스,7,역시 마이클 베이~! 킬링 타임이 뭔지 제대로 알려준다.
103,6,18139941,인터셉터,2,"뻔하고 전개도 걍 성의없이 너무 빨라요..박진감 넘치고 재밌는 영화들 몇몇 요소만 빼서 대충 짜집기한 느낌,,마지막은 진짜 설마설마했는데 으,,유치해요 너무"
104,7,18139940,브로커,1,반개도 아까운 쓰레기...아이유같은걸 거기다가 꽂아놓으면 다냐?카카오? 그래놓고 칸보내고 상도타고..참희한한일이네?!
105,8,18139938,브로커,2,제가 뭘 모르는건지.. 영화 끝나길 기도했던 영화에요 너무 재미가 없었어요 감동도 잘 모르겠어요... 이래서 한국배우 쓰신건가....
106,0,18139936,더 킹: 헨리 5세,10,"지도자의 진면목 , 한사람의 결단이 세상의 운명을 바꾼다."
107,1,18139935,브로커,10,연출과 영화의 전개 속도가 좋았어요. 사람마다 살아온 인생이 다른데 굴곡을 지닌 인생들 하나하나가 서로 정을 주고받으면서도 그 속에 얽힌 이해관계로 인해 복잡한 심리들이 잘 나타났다고 생각합니다. 무엇보다 감정적으로 자극적인 장면 (와하하 웃기거나 눈물을 그렁거리게 하는) 없이 일상을 가지지 못한 삶들이 잠시나마 일상을 되찾는 모습을 보며 더 많은 삶들을 이해하고 싶어졌던 영화였습니다.
108,2,18139934,브로커,9,가족의형태는 중요치않다.태어나줘서 고마워
109,3,18139933,셧 인,5,"익숙한 스토리, 뻔한 클리셰"
110,4,18139932,브로커,1,0점 못주나? 할 말이 없다...
111,5,18139931,브로커,10,너무 재밌어요 시간 가는줄 몰랐습니다
112,6,18139930,도라에몽:스탠바이미,7,일본 애니치고는 3D 그래픽도 괜찮았고 내용도 좀 작위적인 면과 축약적인 면이 있긴 하지만 어린이들이 보기에 감동도 교훈도 있는 작품.
113,7,18139929,배니싱: 미제사건,3,어이 실종: 미제사건
114,8,18139928,브로커,2,최악최악 의도파악xㅠ
115,9,18139927,"조제, 호랑이 그리고 물고기들",8,원작을 뛰어넘느냐 아니냐와 별개로 그 나름의 색깔이 빛을 발한다.
116,0,18139926,브로커,4,스토리 별로인건 둘째치고 아이유님 다른 드라마에서는 연기 잘하셨는데 이번 브로커에서는 연기톤이 어색하고 오글거려서 몰입감이 쉽게 깨졌다.. 소영이라는 캐릭터와 맞지 않는 느낌 그리고 인물들 간에도 유대 관계가 부족하다고 느껴졌다.
117,1,18139925,브로커,10,감동적이고 재밌어요 꼭보시길.
118,2,18139924,범죄도시2,6,내용은 별거 없습니다. 그냥 마동석이 사람을 맛있게 패고 중간중간 개그요소 있는데 몇개는 웃겨요. 개인적으로 전작보단 아쉬웠고 킬링타임용으론 괜찮은것같네요.
119,3,18139923,소설가의 영화,7,홍상수 월드를 완성시키는 또 하나의 조각 이혜영.
120,4,18139922,브로커,6,"음,,, 잔잔하게 봤습니다 여운감이 느껴져서 액션을 좋아하는 분들은 다소 지루하실 수 있으실거에요"
121,5,18139920,1917,1,지루함 재미 하나도 없음
122,6,18139919,브로커,10,감동과사랑 그리고 현실이 보여지는. 영화영화수준이 높아야지만 볼수있는 영화
123,7,18139918,신비한 동물들과 덤블도어의 비밀,5,계속 이럴래?
124,8,18139917,태어나길 잘했어,7,제목 자체가 주제이고 위로의 포인트. 근데 내용은 잘...
125,9,18139916,범죄도시2,10,둘다 재밌게 봤는데 저는 1이 더 재밌었음
126,0,18139915,쥬라기 월드: 도미니언,2,전형적인 미국영화 촌스러운 연출억지스런 장면연속됨
127,1,18139914,브로커,8,따뜻한 영화렸어요??
128,2,18139913,레일로드 워,2,리암니슨 아저씨처럼 나가는게 낫지..되도 않는 유치뽕짝액션찍으니까 계속 실망하지
129,3,18139912,브로커,1,뭘까요…? 보면서 진짜 뭔가 싶었어요
130,4,18139911,검객,7,액션은 볼만하지만 내용이 부실하다. 8점은 과하고 7점 정도가 적당
131,5,18139910,피는 물보다 진하다,2,최동혁.이완 칼부림 할거 없이 서로 딸있는곳 말해주면 되는걸 어른들이 싸우긴 왜싸워서 죽노.. ??어이가 없네..
132,6,18139909,브로커,2,보지마세요 제발....
133,7,18139908,피아니스트,10,유대인의 역사를 알아간다는 것은 정말 슬프지만 유익하다.. 쉰들러리스트 만큼이나 좋았던 영화다..
134,8,18139907,이터널스,1,마블중에 괜히 봤다? 크게 안봐도 될 영화 같네요..
135,0,18139905,내 사랑,10,두번을 봤어도 종종 생각나는 영화.개성 있는 셸리호킨스와 맏고 버는 에단호크의 케미!
136,1,18139904,브로커,10,연기 미쳤고.. 많은 것들을 생각하게 하는 영화라 너무 좋았음.. 오열해서 중간에 못 본 구간이 있는데 몇 번 더 볼 예정이라 ㅎㅎ 제발 봐주시길.. 액션 영화보다 잔잔한 영화 좋아하는 분들은 정말 좋아하실듯
137,2,18139903,문폴,9,이정도 영화를 이정도 평점이라니...스토리 창의적이고 영상미 개쩌는 영화... 이 감독 영화는 정말 믿고 봐도 될 듯...강추드립니다!!!
138,3,18139901,브로커,1,그냥 배우들 캐스팅만 좋은영화재미도 없고 감동도 없고 슬프지도 않고 마무리도 어정쩡하고동화책을봐도 마무리가 그래서 왕자와공주님은 어디서 어떡해 행복하게 살았습니다 라든가 죽었습니다 라는확실한 결말이 있는대 이건뭐 그런것도 없고 2편 나오려고 이상하게 마무리진건가?
139,4,18139900,범죄도시2,10,꿀잼 그냥 한번 보시길 강추
140,5,18139899,몬스터 싱어: 매직 인 파리,10,노래가 자꾸자꾸 생각나게 하는정도였습니다♡♡♡
141,6,18139898,브로커,7,감독과 배우들 덕에 버려졌을 뻔 했으나 지켜진 이야기
142,7,18139897,피는 물보다 진하다,2,이완 연기 접어라~연기 경력도 많이 된거 같은데 책읽냐? 너 때문에 몰입감 깨진다
143,8,18139896,쥬라기 월드: 도미니언,6,왜 갑자기 메뚜기영화를 만들어놨어
144,0,18139895,해운대,1,"진부함+진부함, 신파+신파 , 박중훈 , 하지원 연기 정말 이상 ㅜ"
145,1,18139894,범죄도시2,10,겁나 재밌음!!! 안보면 진심 후회!!!
146,2,18139893,브로커,10,잔잔한 감동을 주는 영화예요 :) 개개인의 감정선을 생각하며 볼수록 영화를 재밌게 볼 수 있을거예요 인물들의 심리에 중점을 두고 보시는거 추천합니다!
147,3,18139892,범죄도시2,10,중간중간 뻘하게 터지는게 좋았어요
148,4,18139891,코다,8,"영화를 마치고 코다의 의미를 검색해보고, 영화의 감동과 의미가 더 커진 것 같다."
149,5,18139890,브로커,10,진짜대박인 영화입니다. 둘이보다가 하나죽어도모르겠는영화에요 평생기억에남을 영화입니다! 강추강추
150,6,18139889,인터스텔라,10,나에게 천체물리학자라는 꿈을 심어준 영화
151,7,18139888,극락도 살인사건,9,재밌습니다. 이유의 대한 결말이 궁금했는데 비교적 괜찮았던 것 같습니다.굉장한 스케일이라기 보다는 스토리에 중점을 둔게 흥미진진하고 재밌게 봤어요저는 만족하며 봤습니다
152,8,18139887,쥬라기 월드: 도미니언,10,어릴때보던 쥬라기월드 분들 다 나올지 몰랐는데 너무 좋았습니다초반에 조금 지루했지만 갈수록 재밌어요4D 추천합니다
153,9,18139885,베르네 부인의 장미정원,10,생각보다 웃긴 포인트가 많아서 초딩 아이들도 지루하지 않게 봤어요. 프랑스 영화라서 난해할까봐 걱정했는데 감동적이고 재밌었어요.
154,0,18139886,브로커,2,졸았어요.뭔 내용인지도 모르겠고 그냥 따분해요.
155,1,18139884,브로커,9,영알못 OO들아 잘만든 영화 까면 니네들이 뭐라도 되냐? ㅋㅋㅋㅋ 같잖아서 OO
156,2,18139883,범죄도시2,1,너무 억지다. 너무 뻔한 영화
157,3,18139882,브로커,2,살다살다 이렇기 돈과 시간이 아까운 영화는 처음.
158,4,18139881,브로커,9,워낙 잔잔하고 박진감 넘치는 영화는 아니라 지루할 수 있기는 한데 감독이 전하는 걸 느끼는 것도 좋았음. 감독 스타일을 잘 몰라서 좀 지루할까봐 걱정했지만 생각보다 재밌었음. 배우들 연기가 좋았어서 기억에 남을 듯.
159,5,18139880,에브리데이,10,여주가너무이뻐요ㅎㅎ
160,6,18139879,브로커,2,수ㅜㅜㅜ이건좀ㅜㅜㅜㅜ
161,7,18139878,브로커,1,"이거 어떻게 칸에 간거죠? 당황스러울 정도로 개연성도 없고, 배우들 연기도 어색해서 두시간 겨우 참고 나왔네요"
162,8,18139877,닥터 스트레인지: 대혼돈의 멀티버스,7,닥스 멀티버스 잘봤습니다.
163,9,18139876,범죄도시2,7,범죄도시 잘 봤습니다.
164,0,18139875,쥬라기 월드: 도미니언,7,쥬라기 월드 재밌게 봤습니다.
165,1,18139874,해빙,1,존나 저급하게 만들었네ㅋㅋ재미도없고
166,2,18139873,브로커,1,대체 이게 뭔 개똥같은 영화냐…아니 대체 칸은 우리나라를 왤케 빨아줌?? 제발 작품 좀 똑바로 보고 박수쳐라…
167,3,18139872,브로커,1,지루하고 별로였어요 이거볼바엔 다른거볼껄 시간아까움
168,4,18139871,닥터 스트레인지: 대혼돈의 멀티버스,10,각 멀티버스마다 너무 특별한 볼거리가 있다
169,5,18139870,킬러의 보디가드 2: 킬러의 와이프,10,킬링 타임용으로 너무 재밌는데 생각보다 별점이낮네요 개꿀잼!!
170,6,18139869,범죄도시2,10,꿀잼이네요 정말 오랜만에 영화관 갔는데 즐겁게 봤어요 기대됐는데 기대를 충족시켜줘서 고마웠습니다.
171,7,18139868,브로커,2,초반: 칸 받았구나 재밌으려나? 중반: 잠 오네 자자 후반: 나갈까 말까. 그래도 다 봐지긴 하는 영화
172,8,18139867,쥬라기 월드: 도미니언,10,공룡이 너무 리얼리티하다.
173,9,18139866,명량,1,최고의 국뽕소재를 가지고 클리셰범벅에 신파극으로 만든 감독.고증은 철저히 무시해버리고.. 이 시대때 블랙 갑옷은뭐냐? 찰갑은 또 뭐냐.. 판타지로 만드네..그나마 볼만한게 해전과 최민식 연기뿐이니제발 이순신을 소비할때 제대로 소비할 역량있는 감독이 계시면 좋겠네
174,0,18139865,브로커,10,진짜 재미있었어요 아무 생각없이 볼수있는 영화!!
175,1,18139864,로스트 시티,8,"유명 헐리우드 배우들의 쉬어가는 코믹 영화. 가볍게 보는 일종의 팬서비스 형식의 영화로 한국 정서와는 안 맞지만, 미국 사람들은 이런 식의 유명 배우의 서비스 코믹 영화를 좋아함. 아무튼 완전 킬링 타임 영화로 배우들의 진지한 연기를 기대한다면 패스하고, 미국식 서비스 코믹 영화를 좋아한다면 쉬엄쉬엄 봐도 괜찮은 영화."
176,2,18139863,루카,10,나도 저런 이쁜 곳에서 저런 아름다운 우정과 성취감 얻는 일을 좀 겪었으면
177,3,18139861,그대가 조국,10,대한민국 국민 모두가 보길 원함.
178,4,18139862,그대가 조국,10,대한민국 국민 모두가 보길 원함.
179,5,18139858,브로커,1,"시나리오 1도 안 써봤지만, 내 일기장이 더 재미있겠다는 생각이 든 영화. 아니 이 시대 버려지는 아이들에 대한 시나리오가 얼마나 이목을 끌수있는 소재나 사연이 많은가. 감동도 없고 재미도없음. 처음부터 끝까지 뭐하나 인상깊은 장면도없고, 배우들 딕션 그닥 좋지 않아서 웅얼웅얼 무슨말을 하는지 들리지도 않음. 부모님 모시고 모처럼 봤다가 너무 지루해서 끝까지 보는게 고역이었음"
180,6,18139857,브로커,1,너무 재미없어서 잘 자고 나왔어요무슨 내용인지 일도모르겠고용
181,7,18139856,그대가 조국,1,11점을 주고 싶어서 1점남깁니다
182,0,18139855,은하,1,다모 찍었음 좋았겠지. 그치?
183,1,18139854,브로커,10,마지막장면에 이지은배우님께서 태어나줘서 고마워라는 그 한마디로 인해 요즘 삶이 힘든 저에게 위로의 한마디가 된거 같아 저의 삶을 뒤돌아 볼 수 있게 한거 같고 우성이를 팔려 갔을때도 마치 여행하는거 같아 저의 행복했던 시간을 다시 한번 떠오르는거 같아 129분을 저의 삶을 다시 뒤돌아보게 하는거 같아요
